date,avg_temp_c
2000-03-31,14.915666666666667
2000-06-30,18.042
2000-09-30,17.22866666666667
2000-12-31,14.269333333333334
2001-03-31,14.373333333333333
2001-06-30,18.028666666666666
2001-09-30,17.413666666666668
2001-12-31,14.099666666666666
2002-03-31,14.567666666666668
2002-06-30,18.82766666666667
2002-09-30,17.57166666666667
2002-12-31,14.513
2003-03-31,14.965000000000002
2003-06-30,19.502
2003-09-30,17.736333333333334
2003-12-31,14.401000000000002
2004-03-31,14.287333333333335
2004-06-30,17.751666666666665
2004-09-30,17.816000000000003
2004-12-31,14.962666666666665
2005-03-31,14.874
2005-06-30,19.453666666666667
2005-09-30,18.040999999999997
2005-12-31,14.441999999999998
2006-03-31,14.771666666666667
2006-06-30,18.592
2006-09-30,17.698666666666668
2006-12-31,14.431666666666667
2007-03-31,14.732
2007-06-30,18.583333333333332
2007-09-30,17.679333333333336
2007-12-31,14.517666666666665
2008-03-31,14.896
2008-06-30,18.641333333333336
2008-09-30,17.464000000000002
2008-12-31,13.876333333333333
2009-03-31,14.848999999999998
2009-06-30,19.027
2009-09-30,18.229333333333333
2009-12-31,14.509333333333332
2010-03-31,13.362666666666664
2010-06-30,19.128333333333334
2010-09-30,17.582333333333334
2010-12-31,13.419000000000002
2011-03-31,14.865
2011-06-30,19.62
2011-09-30,17.685
2011-12-31,14.386666666666665
2012-03-31,14.535333333333334
2012-06-30,18.866666666666664
2012-09-30,17.554333333333336
2012-12-31,14.749666666666668
2013-03-31,14.902000000000001
2013-06-30,19.03
2013-09-30,18.095333333333333
